id,theme,citation,year,venue,method_sample,key_finding,limitation,review_depth,doi_url,ad_mind_use
P01,ad avoidance,"Çelik, Çam & Koseoglu — Ad avoidance in the digital context",2023,International Journal of Consumer Studies,"Systematic review; 56 articles and 62 studies through 2021","Digital ad avoidance has multiple antecedents, mediators, moderators, and behavioral forms; the evidence base is fragmented.","Review stops at 2021 and pools heterogeneous media and measures.",full text,https://doi.org/10.1111/ijcs.12882,"Use a multi-causal avoidance model; do not treat skipping as the only negative outcome."
P02,intrusiveness,"Goodrich, Schiller & Galletta — Consumer Reactions to Intrusiveness of Online-Video Advertisements",2015,Journal of Advertising Research,"Experimental study; sample size not reported in accessible record","Intrusiveness harmed attitudes and intentions toward both advertiser and host; informativeness, humor, and length affected perceived intrusion.","Study setting and sample details require publisher access; result does not imply longer is always better.",abstract and method,https://doi.org/10.2501/JAR-55-1-037-050,"Score host-platform harm separately and pretest creative characteristics."
P03,video avoidance,"Chen & Zhou — Avoiding pre-roll ads: Predictors of online video consumption",2023,Computers in Human Behavior,"National Chinese survey; N=513; SEM","Prior negative experience, perceived goal obstacles, ad length, clutter, and presence of others predicted avoidance.","Self-reported avoidance and China-specific compulsory pre-roll setting.",full text,https://doi.org/10.1016/j.chb.2023.107652,"Add goal impediment, clutter, length, and social context to interruption cost."
P04,placement,"Brechman, Bellman, Robinson, Rask & Varan — Limited-Interruption Advertising in Digital-Video Content",2016,Journal of Advertising Research,"Experimental comparison of limited-interruption mid-roll, pre-roll, clutter, and repetition; sample not in accessible abstract","Placement and repeated single-ad breaks create both positive and negative advertising effects.","Accessible abstract does not expose the complete design and effect sizes.",abstract and method,https://doi.org/10.2501/JAR-2016-001,"Treat placement and repeated limited interruption as testable policies rather than fixed rules."
P05,arousal and congruity,"Belanche, Flavián & Pérez-Rueda — Understanding Interactive Online Advertising",2017,Journal of Interactive Marketing,"Pretest plus three studies of skippable video ads","High-arousal ads were watched longer and were more effective in congruent contexts; product involvement moderated intrusiveness.","Multiple controlled studies but platform, creative, and involvement effects may not generalize to all video.",abstract and method,https://doi.org/10.1016/j.intmar.2016.06.004,"Model arousal, congruity, and involvement separately."
P06,viewer control,"Choi & Kim — The impacts of ad skip option and ad time display",2022,Internet Research,"2×2 online experiment; Qualtrics N=217","Skip and time display increased perceived control, lowering intrusiveness and irritation and improving ad attitude.","Single online experiment; attitudes are not long-term retention or revenue.",abstract and method,https://doi.org/10.1108/INTR-09-2020-0514,"Test behavioral control and temporal information as separate features."
P07,countdown,"Jeon, Son, Chung & Drumwright — Temporal Certainty and Skippable In-Stream Commercials",2019,Journal of Interactive Marketing,"Two experiments varying ad length, timer, and skip","A timer generally reduced irritation for short ads, but with a skip button it increased irritation for both short and long ads; irritation predicted skipping.","Experimental creatives and timing combinations limit universalization.",abstract and method,https://doi.org/10.1016/j.intmar.2019.02.005,"Do not assume countdown plus skip is always helpful; test interaction effects."
P08,agency,"Riedel, Weeks & Beatson — Dealing with intrusive ads",2024,International Journal of Advertising,"Three experiment sets; Experiment 1A N=134, 2A N=121, 2B N=135 plus additional preference/choice studies","Skip improved preference but reduced memory; countdown to ad end and choice of when to view produced the strongest joint outcomes.","Mostly MTurk/controlled exposure; brand memory and preference are only part of platform value.",full text,https://doi.org/10.1080/02650487.2023.2197778,"Offer schedule choice; track preference and memory as separate outcomes."
P09,skip and position,"Frade, Oliveira & Giraldi — Skippable or non-skippable? Pre-roll or mid-roll?",2023,International Journal of Advertising,"2×2 experiment with eye-tracking; N=157 reported in related full-text discussion","Non-skippable and pre-roll conditions produced stronger visual attention/effectiveness; skippable viewers focused heavily on the skip region; mid-roll was more intrusive.","Lab-style exposure and regional 15-second format; forced attention may not imply long-term value.",abstract and method,https://doi.org/10.1080/02650487.2022.2153529,"Measure attention allocation to controls and compare pre-roll/mid-roll trade-offs."
P10,scene timing,"Vermeulen, Droog & Burgers — Overlay ads in humorous online videos",2019,International Journal of Advertising,"Two four-condition experiments; N=109 and N=394","Overlay at the punch line reduced recall/recognition, while simultaneous or just-before placement sometimes improved attitude and purchase intention.","Humorous Dutch stand-up videos and one soda brand; objectives moved in opposite directions.",full text,https://doi.org/10.1080/02650487.2019.1621616,"Use scene-level timing and advertiser objective, not only placement type."
P11,video congruity,"Jiang, Guan & de Haaij — Congruity and Processing Fluency",2020,Asia Pacific Journal of Marketing and Logistics,"2×2×2 online experiment; N=252","Ad-video and product-video congruity improved processing fluency only for informational appeals; fluency improved attitudes.","Mock embedded videos; congruity effect did not generalize to emotional appeals.",abstract and method,https://doi.org/10.1108/APJML-03-2019-0128,"Apply semantic-fit bonuses conditionally by creative appeal."
P12,mid-roll value,"Thavorn, Trichob, Klongthong & Ngamkroeckjoti — Effect of mid-roll video advertising value",2022,Cogent Business & Management,"Survey of Thai Facebook users; N=200; CFA/SEM","Perceived value improved attitude and word of mouth; perceived intrusiveness harmed attitude.","Retrospective single-country Facebook sample, heavily aged 25–34; correlational design.",full text,https://doi.org/10.1080/23311975.2022.2062091,"Keep ad utility/value and intrusiveness as separate dimensions."
